"","Player","Team","Position","Age","GP","MPG","USG%","PPG","RPG","APG","SPG","BPG","TOPG","3PM","TFPG","TFP"
"1","James Harden","Hou","G",29.63,78,36.8,40.5,36.1,6.6,7.5,2.05,0.73,4.96,4.85005128205128,61.1050256410256,4766.192
"2","Paul George","Okc","F",28.94,77,36.9,29.5,28,8.1,4.1,2.21,0.44,2.66,3.79483116883117,50.1424155844156,3860.966
"3","Giannis Antetokounmpo","Mil","F",24.35,72,32.8,32.3,27.7,12.5,5.9,1.26,1.53,3.71,0.721777777777778,56.2608888888889,4050.784
"4","Joel Embiid","Phi","F-C",25.07,64,33.7,33.3,27.5,13.6,3.7,0.72,1.91,3.55,1.2328125,54.15140625,3465.69
"5","Stephen Curry","Gol","G",31.07,69,33.8,30.4,27.3,5.3,5.2,1.33,0.38,2.78,5.13,46.32,3196.08
"6","Devin Booker","Pho","G",22.44,64,35,32.9,26.6,4.1,6.8,0.88,0.2,4.13,2.1088125,43.07440625,2756.762
"7","Kevin Durant","Gol","F",30.53,78,34.6,29,26,6.4,5.9,0.76,1.08,2.87,1.75594871794872,45.9729743589744,3585.892
"8","Damian Lillard","Por","G",28.74,80,35.5,29.3,25.8,4.6,6.9,1.11,0.41,2.65,2.9658375,45.09791875,3607.8335
"9","Bradley Beal","Was","G",25.79,82,36.9,28.4,25.6,5,5.5,1.5,0.7,2.72,2.55117073170732,44.4155853658537,3642.078
"10","Kemba Walker","Cha","G",28.93,82,34.9,31.5,25.6,4.4,5.9,1.24,0.41,2.57,3.16926829268293,43.5496341463415,3571.07
"11","Blake Griffin","Det","F",30.07,75,35,30.2,24.5,7.5,5.4,0.69,0.37,3.37,2.51952,43.66976,3275.232
"12","Karl-Anthony Towns","Min","F-C",23.4,77,33,29,24.4,12.4,3.4,0.88,1.62,3.13,1.84415584415584,49.3570779220779,3800.495
"13","Kyrie Irving","Bos","G",27.05,67,33,29.6,23.8,5,6.9,1.55,0.51,2.57,2.5975223880597,44.5337611940299,2983.762
"14","Donovan Mitchell","Uta","G",22.59,77,33.7,31.6,23.8,4.1,4.2,1.38,0.4,2.83,2.44467532467532,38.5923376623377,2971.61
"15","Zach LaVine","Chi","G",24.09,63,34.5,30.5,23.7,4.7,4.5,0.95,0.41,3.43,1.90561904761905,38.2828095238095,2411.817
"16","Russell Westbrook","Okc","G",30.41,73,36,30.9,22.9,11.1,10.7,1.95,0.45,4.44,1.6327397260274,56.2213698630137,4104.16
"17","Klay Thompson","Gol","G",29.17,78,34,25.5,21.5,3.8,2.4,1.06,0.6,1.46,3.08715384615385,33.9835769230769,2650.719
"18","Julius Randle","Nor","F",24.37,73,30.6,27.8,21.4,8.7,3.1,0.71,0.62,2.85,0.918904109589041,38.6194520547945,2819.22
"19","LaMarcus Aldridge","San","F",33.73,81,33.2,27,21.3,9.2,2.4,0.54,1.32,1.78,0.123407407407407,39.2917037037037,3182.628
"20","DeMar DeRozan","San","G",29.68,77,34.9,27.9,21.2,6,6.2,1.12,0.47,2.57,0.0911688311688312,39.9405844155844,3075.425
"21","Luka Doncic","Dal","G-F",20.12,72,32.2,30.5,21.2,7.8,6,1.08,0.35,3.42,2.33180555555556,42.2659027777778,3043.145
"22","Jrue Holiday","Nor","G",28.83,67,35.8,25.5,21.2,5,7.7,1.64,0.81,3.16,1.76082089552239,43.2004104477612,2894.4275
"23","Mike Conley","Mem","G",31.5,70,33.5,27.3,21.1,3.4,6.4,1.34,0.31,1.86,2.2152,38.4276,2689.932
"24","D'Angelo Russell","Bro","G",23.13,81,30.2,31.9,21.1,3.9,7,1.22,0.25,3.12,2.89277777777778,39.3013888888889,3183.4125
"25","CJ McCollum","Por","G",27.56,70,33.9,25.5,21,4,3,0.79,0.39,1.51,2.38392857142857,33.2969642857143,2330.7875
"26","Nikola Vucevic","Orl","C",28.46,80,31.4,28,20.8,12,3.8,1.01,1.14,1.99,1.05105,45.330525,3626.442
"27","Buddy Hield","Sac","G",25.32,82,31.9,25.2,20.7,5,2.5,0.71,0.39,1.79,3.38996341463415,33.6999817073171,2763.3985
"28","Nikola Jokic","Den","C",24.14,80,31.3,27.4,20.1,10.8,7.3,1.35,0.69,3.1,1.036125,47.5980625,3807.845
"29","Lou Williams","Lac","G",32.46,75,26.6,32.5,20,3,5.3,0.75,0.15,2.41,1.4016,32.9958,2474.685
"30","Danilo Gallinari","Lac","F",30.67,68,30.3,23.8,19.8,6.1,2.6,0.72,0.34,1.44,2.36964705882353,33.9098235294118,2305.868
"31","John Collins","Atl","F-C",21.55,61,30,23.7,19.5,9.8,2,0.36,0.64,1.95,0.901377049180328,36.2256885245902,2209.767
"32","Trae Young","Atl","G",20.56,81,30.9,28.4,19.1,3.7,8.1,0.86,0.19,3.8,1.928,37.039,3000.159
"33","Kyle Kuzma","Lal","F",23.72,70,33.1,23.8,18.7,5.5,2.5,0.57,0.37,1.89,1.82665714285714,31.1733285714286,2182.133
"34","Khris Middleton","Mil","F",27.66,77,31.1,25.1,18.3,6,4.3,1.04,0.09,2.26,2.32690909090909,34.5434545454545,2659.846
"35","Jamal Murray","Den","G",22.13,75,32.6,24.9,18.2,4.2,4.8,0.89,0.36,2.11,2.02584,33.10792,2483.094
"36","Andrew Wiggins","Min","G-F",24.13,73,34.8,24.4,18.1,4.8,2.5,0.97,0.66,1.9,1.61605479452055,30.9680273972603,2260.666
"37","Bojan Bogdanovic","Ind","F",29.98,81,31.8,22.4,18,4.1,2,0.86,0.01,1.67,2.02530864197531,28.0426543209877,2271.455
"38","JJ Redick","Phi","G",34.8,76,31.3,21.8,18,2.4,2.7,0.42,0.21,1.3,3.16032894736842,27.2401644736842,2070.2525
"39","Andre Drummond","Det","C",25.67,79,33.5,23,17.3,15.6,1.4,1.73,1.76,2.22,0.063493670886076,44.801746835443,3539.338
"40","De'Aaron Fox","Sac","G",21.31,81,31.4,24.5,17.3,3.8,7.3,1.64,0.56,2.8,1.06261728395062,36.5313086419753,2959.036
"41","Pascal Siakam","Tor","F",25.03,80,31.8,20.8,16.9,6.9,3.1,0.93,0.64,1.91,0.987075,32.8535375,2628.283
"42","Ben Simmons","Phi","G-F",22.72,79,34.2,22.1,16.9,8.8,7.7,1.42,0.77,3.47,0,42.095,3325.505
"43","Jordan Clarkson","Cle","G",26.84,81,27.3,27.6,16.8,3.3,2.4,0.69,0.17,1.67,1.78,26.3,2130.3
"44","Spencer Dinwiddie","Bro","G",26.01,68,28.1,24.9,16.8,2.4,4.6,0.59,0.25,2.22,1.82279411764706,28.1813970588235,1916.335
"45","Collin Sexton","Cle","G",20.27,82,31.8,25.2,16.7,2.9,3,0.54,0.07,2.27,1.45112195121951,25.6355609756098,2102.116
"46","Clint Capela","Hou","C",24.9,67,33.6,18.1,16.6,12.6,1.4,0.66,1.52,1.39,0,38.115,2553.705
"47","Montrezl Harrell","Lac","F-C",25.21,82,26.3,23.5,16.6,6.5,2,0.85,1.34,1.61,0.0364878048780488,31.318243902439,2568.096
"48","Josh Richardson","Mia","F",25.57,73,34.8,20.9,16.6,3.6,4.1,1.08,0.45,1.55,2.24469863013699,30.6573493150685,2237.9865
"49","Deandre Ayton","Pho","C",20.72,71,30.7,21.2,16.3,10.3,1.8,0.87,0.94,1.77,0,34.61,2457.31
"50","Eric Gordon","Hou","G",30.29,68,31.7,22,16.2,2.2,1.9,0.6,0.4,1.32,3.17647058823529,24.7282352941176,1681.52
"51","Aaron Gordon","Orl","F",23.57,78,33.8,21.8,16,7.3,3.7,0.73,0.72,2.08,1.55260256410256,33.3113012820513,2598.2815
"52","Eric Bledsoe","Mil","G",29.34,78,29.1,22.9,15.9,4.6,5.5,1.51,0.37,2.12,1.59016666666667,33.3950833333333,2604.8165
"53","Rudy Gobert","Uta","C",26.79,81,31.8,17.8,15.9,12.8,2,0.81,2.3,1.6,0,40.32,3265.92
"54","Jayson Tatum","Bos","F",21.11,79,31.1,22.1,15.7,6,2.1,1.06,0.73,1.54,1.46839240506329,29.8941962025316,2361.6415
"55","Malcolm Brogdon","Mil","G",26.33,64,28.6,20.7,15.6,4.5,3.2,0.72,0.19,1.44,1.624125,27.9370625,1787.972
"56","Jusuf Nurkic","Por","C",24.63,72,27.4,24.7,15.6,10.4,3.2,0.97,1.43,2.33,0.0414861111111111,37.0557430555556,2668.0135
"57","Dennis Schroder","Okc","G",25.57,79,29.3,24.2,15.5,3.6,4.1,0.81,0.15,2.16,1.57118987341772,27.7755949367089,2194.272
"58","Reggie Jackson","Det","G",28.99,82,27.9,24.5,15.4,2.6,4.2,0.66,0.11,1.8,2.1195,26.64975,2185.2795
"59","Jeremy Lamb","Cha","G",26.86,79,28.5,22.5,15.3,5.5,2.2,1.11,0.41,1.01,1.45367088607595,28.736835443038,2270.21
"60","Evan Fournier","Orl","G-F",26.45,81,31.5,22.1,15.1,3.2,3.6,0.89,0.15,1.9,1.88888888888889,26.5744444444444,2152.53
"61","Terrence Ross","Orl","G-F",28.18,81,26.5,23.9,15.1,3.5,1.7,0.89,0.36,1.1,2.67627160493827,25.3131358024691,2050.364
"62","Serge Ibaka","Tor","F-C",29.56,74,27.2,22.8,15,8.1,1.3,0.39,1.38,1.53,0.662297297297297,30.1811486486487,2233.405
"63","Dwyane Wade","Mia","G",37.23,72,26.2,27.9,15,4,4.2,0.82,0.53,2.31,1.19625,28.443125,2047.905
"64","Marvin Bagley III","Sac","F",20.08,62,25.3,24.2,14.9,7.6,1,0.53,0.95,1.58,0.484645161290323,28.3123225806452,1755.364
"65","Kyle Lowry","Tor","G",33.05,65,34.1,19.6,14.2,4.8,8.7,1.4,0.48,2.8,2.41832307692308,36.8191615384615,2393.2455
"66","Bogdan Bogdanovic","Sac","G",26.64,70,27.8,22.3,14.1,3.5,3.8,1.03,0.21,1.67,1.91314285714286,26.7765714285714,1874.36
"67","Steven Adams","Okc","C",25.73,80,33.4,16.4,13.9,9.5,1.6,1.49,0.96,1.73,0,32.21,2576.8
"68","Marcus Morris","Bos","F",29.61,75,27.9,20.9,13.9,6.1,1.5,0.57,0.33,1.23,1.945,25.9325,1944.9375
"69","Rudy Gay","San","F",32.65,69,26.7,22.1,13.7,6.8,2.6,0.78,0.49,1.64,1.072,28.356,1956.564
"70","Joe Harris","Bro","G-F",27.59,76,30.2,17,13.7,3.9,2.4,0.49,0.22,1.59,2.40742105263158,24.0037105263158,1824.282
"71","Jerami Grant","Okc","F",25.08,80,32.7,15.4,13.6,5.2,1,0.76,1.25,0.84,1.4357,25.91785,2073.428
"72","Al Horford","Bos","F-C",32.86,68,29,19,13.6,6.7,4.1,0.85,1.26,1.5,1.07470588235294,32.1323529411765,2185
"73","Myles Turner","Ind","F-C",23.05,74,28.6,20,13.3,7.2,1.6,0.81,2.69,1.35,1.02767567567568,31.5388378378378,2333.874
"74","Jaylen Brown","Bos","F",22.46,74,25.9,22.1,13,4.2,1.4,0.95,0.43,1.34,1.28302702702703,23.0815135135135,1708.032
"75","Cedi Osman","Cle","F",24.01,76,32.2,18.5,13,4.7,2.6,0.78,0.14,1.5,1.71252631578947,24.7212631578947,1878.816
"76","Kevin Knox","Nyk","F",19.67,75,28.8,22.4,12.8,4.5,1.1,0.56,0.32,1.53,1.66469333333333,21.9023466666667,1642.676
"77","Ricky Rubio","Uta","G",28.47,68,27.9,22.7,12.7,3.6,6.1,1.35,0.15,2.65,1.16167647058824,28.6058382352941,1945.197
"78","Paul Millsap","Den","F",34.16,70,27.1,19.6,12.6,7.2,2,1.17,0.77,1.36,0.829071428571429,28.2145357142857,1975.0175
"79","Justise Winslow","Mia","F",23.04,66,29.7,20.8,12.6,5.4,4.3,1.09,0.29,2.15,1.45454545454545,28.2122727272727,1862.01
"80","Thaddeus Young","Ind","F",30.8,81,30.7,18,12.6,6.4,2.5,1.52,0.47,1.52,0.629061728395062,27.8845308641975,2258.647
"81","Brook Lopez","Mil","C",31.03,81,28.7,16.7,12.5,4.9,1.2,0.6,2.21,1.02,2.30716049382716,26.6885802469136,2161.775
"82","Jeff Green","Was","F",32.62,77,27.2,17.8,12.3,4,1.8,0.56,0.52,1.31,1.44207792207792,22.226038961039,1711.405
"83","Joe Ingles","Uta","F",31.52,82,31.3,17.5,12.1,4,5.7,1.18,0.24,2.35,2.30308536585366,28.4665426829268,2334.2565
"84","Willie Cauley-Stein","Sac","C",25.65,81,27.3,17.5,11.9,8.4,2.4,1.19,0.63,1.04,0.0123456790123457,29.1261728395062,2359.22
"85","Jae Crowder","Uta","F",28.77,80,27.1,19.1,11.9,4.8,1.7,0.8,0.39,1.06,2.159775,23.3798875,1870.391
"86","Bryn Forbes","San","G",25.72,82,28,17.4,11.8,2.9,2.1,0.55,0.05,0.98,2.14558536585366,20.3577926829268,1669.339
"87","D.J. Augustin","Orl","G",31.42,81,28,17.2,11.7,2.5,5.3,0.64,0.05,1.58,1.61643209876543,24.1732160493827,1958.0305
"88","Gordon Hayward","Bos","F",29.05,72,25.9,19,11.5,4.5,3.4,0.82,0.32,1.46,1.068375,24.3091875,1750.2615
"89","Josh Jackson","Pho","F",22.16,79,25.2,23.9,11.5,4.4,2.3,0.92,0.71,2.19,0.922784810126582,23.0763924050633,1823.035
"90","Darren Collison","Ind","G",31.63,76,28.2,17.7,11.2,3,6,1.45,0.12,1.63,1.03892105263158,26.7944605263158,2036.379
"91","DeMarre Carroll","Bro","F",32.71,67,25.4,18.6,11.1,5.2,1.3,0.45,0.15,1.09,1.58285074626866,20.9964253731343,1406.7605
"92","Fred VanVleet","Tor","G",25.12,64,27.5,17.9,11,2.6,4.8,0.89,0.3,1.27,1.74825,24.069125,1540.424
"93","Jarrett Allen","Bro","C",20.97,80,26.2,15.9,10.9,8.4,1.4,0.54,1.5,1.3,0.0748125,26.96740625,2157.3925
"94","Dewayne Dedmon","Atl","C",29.66,64,25.1,16.7,10.8,7.5,1.4,1.08,1.13,1.31,1.29521875,26.687609375,1708.007
"95","Shai Gilgeous-Alexander","Lac","G",20.75,82,26.5,18.3,10.8,2.8,3.3,1.18,0.55,1.72,0.622109756097561,22.1610548780488,1817.2065
"96","Damyean Dotson","Nyk","G",24.93,73,27.4,17.3,10.7,3.6,1.8,0.79,0.14,0.97,1.72405479452055,20.1370273972603,1470.003
"97","Danny Green","Tor","G-F",31.8,80,27.7,14,10.3,4,1.6,0.91,0.66,0.94,2.4738,21.6069,1728.552
"98","Marvin Williams","Cha","F",32.81,75,28.4,14.9,10.1,5.4,1.2,0.92,0.8,0.61,1.86416,22.71708,1703.781
"99","Derrick White","San","G",24.78,67,25.8,17.7,9.9,3.7,3.9,1,0.7,1.45,0.716358208955224,23.4081791044776,1568.348
"100","Kevin Huerter","Atl","G",20.62,75,27.3,15.7,9.7,3.3,2.9,0.88,0.33,1.45,1.81248,20.77624,1558.218
"101","Jonathan Isaac","Orl","F",21.52,75,26.6,16.3,9.6,5.5,1.1,0.79,1.29,1.01,1.14557333333333,22.3527866666667,1676.459
"102","Al-Farouq Aminu","Por","F",28.55,81,28.3,13.7,9.4,7.5,1.3,0.84,0.41,0.89,1.18567901234568,23.3728395061728,1893.2
"103","Larry Nance Jr.","Cle","F",26.27,67,26.8,15.5,9.4,8.2,3.2,1.49,0.6,1.45,0.492925373134328,28.1514626865672,1886.148
"104","Nicolas Batum","Cha","G-F",30.32,75,31.4,13.2,9.3,5.2,3.3,0.95,0.57,1.56,1.54562666666667,23.7828133333333,1783.711
"105","Tomas Satoransky","Was","G-F",27.45,80,27,14.1,8.9,3.5,5,1.04,0.18,1.5,0.8007375,22.86536875,1829.2295
"106","Marcus Smart","Bos","G",25.1,80,27.5,14.6,8.9,2.9,4,1.79,0.35,1.54,1.5743,22.82215,1825.772
"107","Noah Vonleh","Nyk","F",23.63,68,25.3,14.8,8.4,7.8,1.9,0.66,0.75,1.29,0.676941176470588,23.5134705882353,1598.916
"108","Mikal Bridges","Pho","F",22.61,82,29.5,12.2,8.3,3.2,2.1,1.55,0.46,0.85,1.27871951219512,19.6843597560976,1614.1175
"109","Darius Miller","Nor","F",29.06,69,25.5,13.4,8.2,1.8,2.1,0.58,0.33,0.86,1.92550724637681,15.9527536231884,1100.74
"110","Josh Hart","Lal","G",24.1,67,25.6,13.5,7.8,3.7,1.4,0.96,0.6,0.87,1.37408955223881,17.8970447761194,1199.102
"111","Patrick Beverley","Lac","G",30.75,78,27.4,12.1,7.6,4.9,3.9,0.86,0.55,1.1,1.43742307692308,22.5637115384615,1759.9695
"112","Draymond Green","Gol","F",29.1,66,31.3,13.1,7.4,7.3,6.9,1.44,1.08,2.56,0.7125,30.99125,2045.4225
"113","PJ Tucker","Hou","F",33.93,82,34.2,9.5,7.3,5.8,1.2,1.62,0.45,0.77,1.77925609756098,20.9946280487805,1721.5595
"114","Terrance Ferguson","Okc","G",20.9,74,26.1,10.6,6.9,1.9,1,0.54,0.22,0.65,1.43432432432432,12.6871621621622,938.85
"115","Cory Joseph","Ind","G",27.64,82,25.2,13.7,6.5,3.4,3.9,1.13,0.27,0.98,0.671487804878049,19.245743902439,1578.151
